city,variable,indicator_name,dimension,combined_weight,standardized_value,deviation_degree,weighted_deviation,obstacle_degree,obstacle_rank_in_city
连云港市,postgraduate_entrants_2024,研究生招生,创新供给能力,0.058469874,0.599385275,0.400614725,0.023423893,0.031158265,13
连云港市,gdp_亿元,GDP,产业承载能力,0.064780719,0,1,0.064780719,0.086170768,4
连云港市,per_capita_disposable_income_元,居民收入,产业承载能力,0.071540045,0.079968274,0.920031726,0.065819111,0.087552027,3
连云港市,industrial_added_value_亿元,工业增加值,产业承载能力,0.073211557,0.005912704,0.994087296,0.072778679,0.096809586,2
连云港市,secondary_industry_share_pct,二产占比,产业承载能力,0.072552777,0.790625,0.209375,0.015190738,0.020206591,16
连云港市,tertiary_industry_share_pct,三产占比,产业承载能力,0.059630917,0,1,0.059630917,0.079320544,7
连云港市,hospitals_2024,医院数,医疗应用与转化基础,0.077065564,0.181319545,0.818680455,0.063092071,0.083924541,6
连云港市,health_institutions_total_2024,医疗机构,医疗应用与转化基础,0.056713785,0.628703947,0.371296053,0.021057604,0.028010648,15
连云港市,medical_beds_per_10000_people_2024,万人床位,医疗应用与转化基础,0.063428069,0.479855372,0.520144628,0.032991769,0.043885374,12
连云港市,licensed_physicians_per_10000_people_2024,万人医师,医疗应用与转化基础,0.078427189,0.001372684,0.998627316,0.078319533,0.104179984,1
连云港市,registered_nurses_10000_2024,注册护士,医疗应用与转化基础,0.054517441,0.194981,0.805019,0.043887576,0.058378884,9
淮安市,valid_invention_patents_count,有效发明专利,创新供给能力,0.051233915,0.118214961,0.881785039,0.0451773,0.063165407,7
淮安市,patents_per_10000_people_supplement,万人专利,创新供给能力,0.067433161,0.047628267,0.952371733,0.064221436,0.089792289,3
淮安市,regular_higher_education_institutions_2024,高校数,创新供给能力,0.048177389,0.197518183,0.802481817,0.038661479,0.054055201,11
淮安市,regular_higher_education_fulltime_teachers_2024,高校教师,创新供给能力,0.042989753,0.301726433,0.698273567,0.030018608,0.041971026,12
淮安市,postgraduate_enrollment_2024,研究生在校,创新供给能力,0.059827845,0.598172044,0.401827956,0.024040501,0.033612634,15
淮安市,postgraduate_entrants_2024,研究生招生,创新供给能力,0.058469874,0.577213482,0.422786518,0.024720275,0.034563071,14
淮安市,gdp_亿元,GDP,产业承载能力,0.064780719,0.085399059,0.914600941,0.059248507,0.082839304,5
淮安市,per_capita_disposable_income_元,居民收入,产业承载能力,0.071540045,0.155527562,0.844472438,0.060413596,0.084468293,4
