variable,valid_invention_patents_count,patents_per_10000_people_supplement,regular_higher_education_institutions_2024,regular_higher_education_fulltime_teachers_2024,postgraduate_enrollment_2024,postgraduate_entrants_2024,gdp_亿元,per_capita_disposable_income_元,industrial_added_value_亿元,secondary_industry_share_pct,tertiary_industry_share_pct,hospitals_2024,health_institutions_total_2024,medical_beds_per_10000_people_2024,licensed_physicians_per_10000_people_2024,registered_nurses_10000_2024
valid_invention_patents_count,1.0,0.9285714285714286,0.90181962906238,0.8571428571428571,0.7070157995267374,0.7070157995267374,0.9285714285714286,0.8791208791208791,0.8626373626373627,0.2699734762121152,0.5054945054945055,0.5824175824175825,0.5,0.1043956043956044,0.5659340659340659,0.7032967032967034
patents_per_10000_people_supplement,0.9285714285714286,1.0,0.9101185827040583,0.8681318681318682,0.7977999294270578,0.7977999294270578,0.8736263736263736,0.9395604395604396,0.7912087912087912,0.2837476331617129,0.5,0.45604395604395603,0.23076923076923078,-0.07142857142857142,0.521978021978022,0.5
regular_higher_education_institutions_2024,0.90181962906238,0.9101185827040583,1.0,0.9599123045541285,0.8587389407007345,0.8587389407007345,0.9322491257485339,0.796699549601121,0.85202590721231,0.0887663717375154,0.6943457880204215,0.5615625297535679,0.4592087681728684,0.10788639734181847,0.636253112528673,0.6888131522593025
regular_higher_education_fulltime_teachers_2024,0.8571428571428571,0.8681318681318682,0.9599123045541285,1.0,0.921596470200222,0.921596470200222,0.8351648351648352,0.7307692307692307,0.7637362637362637,-0.04407730223871269,0.7912087912087912,0.46703296703296704,0.4725274725274725,0.03296703296703297,0.5439560439560439,0.6758241758241759
postgraduate_enrollment_2024,0.7070157995267374,0.7977999294270578,0.8587389407007345,0.921596470200222,1.0,1.0,0.6740033886538936,0.6107296011476098,0.6519951147386644,-0.14068978900343013,0.6850075256115082,0.36313651960128146,0.34663031416485957,-0.11829447229435684,0.36313651960128146,0.4649247864592164
postgraduate_entrants_2024,0.7070157995267374,0.7977999294270578,0.8587389407007345,0.921596470200222,1.0,1.0,0.6740033886538936,0.6107296011476098,0.6519951147386644,-0.14068978900343013,0.6850075256115082,0.36313651960128146,0.34663031416485957,-0.11829447229435684,0.36313651960128146,0.4649247864592164
gdp_亿元,0.9285714285714286,0.8736263736263736,0.9322491257485339,0.8351648351648352,0.6740033886538936,0.6740033886538936,1.0,0.8241758241758241,0.9230769230769231,0.23967033092300025,0.532967032967033,0.7142857142857143,0.5274725274725275,0.15384615384615385,0.5934065934065934,0.7637362637362637
per_capita_disposable_income_元,0.8791208791208791,0.9395604395604396,0.796699549601121,0.7307692307692307,0.6107296011476098,0.6107296011476098,0.8241758241758241,1.0,0.7252747252747253,0.3829215631988165,0.42857142857142855,0.37362637362637363,0.12087912087912088,-0.07142857142857142,0.5934065934065934,0.4230769230769231
industrial_added_value_亿元,0.8626373626373627,0.7912087912087912,0.85202590721231,0.7637362637362637,0.6519951147386644,0.6519951147386644,0.9230769230769231,0.7252747252747253,1.0,0.3002766215012302,0.3791208791208791,0.6153846153846154,0.47802197802197804,0.03296703296703297,0.4230769230769231,0.6483516483516484
secondary_industry_share_pct,0.2699734762121152,0.2837476331617129,0.0887663717375154,-0.04407730223871269,-0.14068978900343013,-0.14068978900343013,0.23967033092300025,0.3829215631988165,0.3002766215012302,1.0,-0.4600568421165637,-0.06611595335806904,-0.35537324929962105,-0.3526184179097015,-0.13223190671613808,-0.16804471478509214
tertiary_industry_share_pct,0.5054945054945055,0.5,0.6943457880204215,0.7912087912087912,0.6850075256115082,0.6850075256115082,0.532967032967033,0.42857142857142855,0.3791208791208791,-0.4600568421165637,1.0,0.3516483516483517,0.45054945054945056,0.29120879120879123,0.6043956043956044,0.6263736263736264
hospitals_2024,0.5824175824175825,0.45604395604395603,0.5615625297535679,0.46703296703296704,0.36313651960128146,0.36313651960128146,0.7142857142857143,0.37362637362637363,0.6153846153846154,-0.06611595335806904,0.3516483516483517,1.0,0.7362637362637363,0.532967032967033,0.26373626373626374,0.8241758241758241
health_institutions_total_2024,0.5,0.23076923076923078,0.4592087681728684,0.4725274725274725,0.34663031416485957,0.34663031416485957,0.5274725274725275,0.12087912087912088,0.47802197802197804,-0.35537324929962105,0.45054945054945056,0.7362637362637363,1.0,0.510989010989011,0.32967032967032966,0.8956043956043956
medical_beds_per_10000_people_2024,0.1043956043956044,-0.07142857142857142,0.10788639734181847,0.03296703296703297,-0.11829447229435684,-0.11829447229435684,0.15384615384615385,-0.07142857142857142,0.03296703296703297,-0.3526184179097015,0.29120879120879123,0.532967032967033,0.510989010989011,1.0,0.44505494505494503,0.47802197802197804
licensed_physicians_per_10000_people_2024,0.5659340659340659,0.521978021978022,0.636253112528673,0.5439560439560439,0.36313651960128146,0.36313651960128146,0.5934065934065934,0.5934065934065934,0.4230769230769231,-0.13223190671613808,0.6043956043956044,0.26373626373626374,0.32967032967032966,0.44505494505494503,1.0,0.4835164835164835
registered_nurses_10000_2024,0.7032967032967034,0.5,0.6888131522593025,0.6758241758241759,0.4649247864592164,0.4649247864592164,0.7637362637362637,0.4230769230769231,0.6483516483516484,-0.16804471478509214,0.6263736263736264,0.8241758241758241,0.8956043956043956,0.47802197802197804,0.4835164835164835,1.0
